Time [s],Capacitor voltage [V]
0.4207930266,0.527825
0.4208199266,0.527288
0.4208467266,0.527104
0.4208735266,0.525433
0.4209004266,0.526083
0.4209272266,0.526301
0.4209541266,0.525966
0.4209809266,0.525201
0.4210078266,0.528077
0.4210347266,0.529233
0.4210615266,0.529282
0.4210884266,0.525441
0.4211153266,0.529466
0.4211422266,0.527589
0.4211691266,0.526605
0.4211960266,0.525242
0.4212229266,0.527082
0.4212498266,0.525227
0.4212765266,0.527724
0.4213032266,0.527149
0.4213300266,0.528347
0.4213568266,0.530634
0.4213835266,0.528854
0.4214103266,0.527123
0.4214371266,0.526924
0.4214638266,0.527326
0.4214906266,0.52861
0.4215174266,0.528486
0.4215442266,0.525629
0.4215710266,0.529218
0.4215978266,0.52612
0.4216246266,0.525324
0.4216515266,0.526582
0.4216783266,0.526421
0.4217051266,0.529263
0.4217319266,0.52713
0.4217588266,0.527956
0.4217856266,0.530739
0.4218125266,0.527889
0.4218393266,0.526789
0.4218662266,0.528617
0.4218931266,0.526319
0.4219200266,0.526946
0.4219468266,0.526338
0.4219737266,0.528456
0.4220006266,0.529586
0.4220275266,0.529965
0.4220544266,0.526244
0.4220813266,0.528985
0.4221082266,0.529417
0.4221349266,0.529241
0.4221617266,0.530314
0.4221884266,0.528516
0.4222152266,0.528501
0.4222420266,0.52793
0.4222687266,0.527589
0.4222955266,0.526901
0.4223223266,0.525858
0.4223491266,0.52793
0.4223759266,0.532398
0.4224026266,0.527329
0.4224295266,0.527457
0.4224563266,0.528028
0.4224831266,0.529087
0.4225099266,0.529642
0.4225367266,0.527716
0.4225635266,0.528073
0.4225904266,0.526781
0.4226172266,0.526759
0.4226441266,0.52855
0.4226709266,0.527645
0.4226978266,0.529826
0.4227246266,0.526447
0.4227515266,0.529248
0.4227784266,0.526473
0.4228053266,0.526654
0.4228322266,0.528201
0.4228590266,0.526233
0.4228859266,0.527716
0.4229128266,0.528193
0.4229398266,0.527694
0.4229666266,0.529128
0.4229933266,0.527784
0.4230201266,0.528497
0.4230468266,0.526928
0.4230736266,0.528685
0.4231003266,0.52784
0.4231271266,0.530528
0.4231539266,0.529143
0.4231807266,0.529965
0.4232075266,0.529778
0.4232342266,0.527761
0.4232610266,0.530412
0.4232878266,0.529958
0.4233147266,0.529545
0.4233415266,0.530926
0.4233683266,0.528017
0.4233951266,0.527919
0.4234219266,0.525816
0.4234488266,0.528065
0.4234756266,0.528354
0.4235025266,0.528411
0.4235293266,0.530848
0.4235562266,0.529222
0.4235830266,0.527679
0.4236099266,0.531219
0.4236368266,0.527453
0.4236637266,0.528936
0.4236906266,0.528655
0.4237175266,0.529301
0.4237443266,0.530652
0.4237713266,0.527784
0.4237982266,0.529894
0.4238250266,0.528813
0.4238517266,0.526379
0.4238785266,0.526518
0.4239052266,0.52959
0.4239320266,0.530652
0.4239587266,0.528568
0.4239855266,0.529684
0.4240123266,0.530115
0.4240390266,0.530232
0.4240658266,0.530134
0.4240926266,0.527525
0.4241194266,0.532406
0.4241462266,0.531775
0.4241730266,0.529669
0.4241998266,0.528505
0.4242267266,0.528238
0.4242535266,0.529631
0.4242803266,0.530461
0.4243071266,0.529575
0.4243340266,0.530247
0.4243608266,0.528452
0.4243877266,0.529357
0.4244145266,0.528313
0.4244414266,0.527329
0.4244683266,0.528388
0.4244951266,0.529286
0.4245220266,0.53244
0.4245489266,0.530296
0.4245758266,0.529886
